selector,method,memory_bin,n,success,median_rmsd,pb_valid_all,mean_memory_score,official_success,delta_vs_official
fusion_rank_confidence_structure_memory_physics,all_methods,low,528,0.2178030303030303,7.632725238800049,0.9962121212121212,0.2680201538600677,0.13825757575757575,0.07954545454545456
fusion_rank_confidence_structure_memory_physics,all_methods,mid,2099,0.5912339209147213,1.42335307598114,0.9957122439256789,0.5112051886328396,0.48261076703191996,0.1086231538828013
fusion_rank_confidence_structure_memory_physics_antimemory,all_methods,high,2100,0.9323809523809524,0.4080885350704193,0.9990476190476191,0.9392622346509137,0.8885714285714286,0.043809523809523854
fusion_rank_confidence_structure_memory_physics_antimemory,all_methods,low,528,0.2178030303030303,7.747559547424316,0.9962121212121212,0.2680201538600677,0.13825757575757575,0.07954545454545456
fusion_rank_confidence_structure_memory_physics_antimemory,all_methods,mid,2099,0.5917103382563126,1.4218837022781372,0.9957122439256789,0.5112051886328396,0.48261076703191996,0.10909957122439262
official_ranking,af3,all,697,0.6341463414634146,1.0004606246948242,0.6542324246771879,0.6663423794024945,0.6244975671673366,0.009648774296078022
official_ranking,af3_no_template,all,697,0.6456241032998565,1.0154482126235962,0.6140602582496413,0.6664652641409265,0.6244975671673366,0.021126536132519913
official_ranking,boltz,all,670,0.6059701492537314,1.2641462087631226,0.5029850746268657,0.6783334080593707,0.6244975671673366,-0.018527417913605237
official_ranking,boltz1x,all,666,0.6201201201201201,1.1631397008895874,0.9204204204204204,0.6806378204447932,0.6244975671673366,-0.004377447047216543
official_ranking,boltz2,all,630,0.6936507936507936,0.9397163987159728,1.0,0.6841840339121722,0.6244975671673366,0.06915322648345701
official_ranking,chai,all,680,0.5926470588235294,1.1785191297531128,0.6867647058823529,0.6741812664284047,0.6244975671673366,-0.031850508343807205
official_ranking,protenix,all,687,0.5836972343522562,1.206549048423767,0.636098981077147,0.6706706303400384,0.6244975671673366,-0.04080033281508044
oracle_min_rmsd,af3,all,697,0.7546628407460545,0.633518397808075,0.9928263988522238,0.6663423794024945,0.6244975671673366,0.13016527357871788
oracle_min_rmsd,af3_no_template,all,697,0.7661406025824964,0.6139246821403503,0.9899569583931134,0.6664652641409265,0.6244975671673366,0.14164303541515977
oracle_min_rmsd,boltz,all,670,0.682089552238806,0.8665155172348022,0.9791044776119403,0.6783334080593707,0.6244975671673366,0.05759198507146934
oracle_min_rmsd,boltz1x,all,666,0.6756756756756757,0.8349789083003998,0.9894894894894894,0.6806378204447932,0.6244975671673366,0.05117810850833904
oracle_min_rmsd,boltz2,all,630,0.7666666666666667,0.6751895844936371,1.0,0.6841840339121722,0.6244975671673366,0.1421690994993301
oracle_min_rmsd,chai,all,680,0.6794117647058824,0.7640203535556793,0.9882352941176471,0.6741812664284047,0.6244975671673366,0.05491419753854576
oracle_min_rmsd,protenix,all,687,0.6754002911208151,0.7907001972198486,0.9912663755458515,0.6706706303400384,0.6244975671673366,0.0509027239534785
nested_pair_rank_structure_antimemory_low_success,af3,all,697,0.6556671449067432,0.9695582985877992,0.697274031563845,0.6663423794024945,0.6244975671673366,0.03116957773940654
nested_pair_rank_structure_antimemory_low_success,af3_no_template,all,697,0.6542324246771879,1.0119236707687378,0.6571018651362984,0.6664652641409264,0.6244975671673366,0.029734857509851276
