selector,dataset,similarity_risk,n_cases,manifest_cases,case_coverage,success,any_ligand_success,pb_valid_all,median_rmsd,median_centroid_distance,mean_memory_tanimoto
lodo_run_prior,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.5555555555555556,0.5555555555555556,0.2222222222222222,1.621310679923294,0.6083707277890249,0.516564068647402
lodo_run_prior,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.5327868852459017,0.5327868852459017,0.7786885245901639,1.4482269611877518,0.6508883941127617,0.781905794917732
lodo_run_prior,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.5,0.5,0.7352941176470589,2.210711159521632,1.010694570300646,0.29134839213261715
lodo_run_prior,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.5,0.5333333333333333,0.6666666666666666,1.9970131298143723,0.6372337774354784,0.5400922302447368
lodo_run_prior,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.4470588235294118,0.4588235294117647,0.6,2.5656815965130755,1.219968576805874,0.9870348646361766
oracle_pool_upper_bound,astex_diverse,high_ligand_or_scaffold,27,85,0.3176470588235294,0.8148148148148148,0.8518518518518519,0.3333333333333333,0.797892718807139,0.4067674796111051,0.6473362666035998
oracle_pool_upper_bound,astex_diverse,low_similarity,46,85,0.5411764705882353,0.9130434782608695,0.9130434782608695,0.45652173913043476,0.4607226020844819,0.24515581693069283,0.29098164783725144
oracle_pool_upper_bound,astex_diverse,mid_or_unknown,12,85,0.1411764705882353,0.8333333333333334,0.8333333333333334,0.75,0.4911695526097897,0.23266751582302414,0.5051039853147968
oracle_pool_upper_bound,dockgen,high_ligand_or_scaffold,15,189,0.07936507936507936,0.4,0.4,0.26666666666666666,3.772362003440285,1.4860255875105626,0.5372906593743747
oracle_pool_upper_bound,dockgen,low_similarity,75,189,0.3968253968253968,0.68,0.7333333333333333,0.02666666666666667,1.0042088543243624,0.5304251800207075,0.23795292198987827
oracle_pool_upper_bound,dockgen,mid_or_unknown,9,189,0.047619047619047616,0.7777777777777778,0.7777777777777778,0.1111111111111111,0.7540180415613402,0.2521521789050774,0.516564068647402
oracle_pool_upper_bound,posebusters_benchmark,high_ligand_or_scaffold,122,428,0.2850467289719626,0.7540983606557377,0.7704918032786885,0.48360655737704916,0.7147740295431013,0.3672872257814439,0.781905794917732
oracle_pool_upper_bound,posebusters_benchmark,low_similarity,68,428,0.1588785046728972,0.7352941176470589,0.7647058823529411,0.6176470588235294,0.941216267612546,0.480282014571596,0.29134839213261715
oracle_pool_upper_bound,posebusters_benchmark,mid_or_unknown,30,428,0.07009345794392523,0.6666666666666666,0.7,0.4,1.022155219145762,0.4861005564035956,0.5400922302447368
oracle_pool_upper_bound,posebusters_benchmark,pdb_overlap,85,428,0.1985981308411215,0.7176470588235294,0.7411764705882353,0.43529411764705883,1.0715260095260912,0.5183177079939612,0.9870348646361766
