selector,method,similarity_bin,n,success,median_rmsd,pb_valid_all,replacement_rate,eligible_rate
geometry_filter_clash_only,boltz2,mid,299,0.5418060200668896,1.7600971460342407,,0.056856187290969896,0.9933110367892977
geometry_filter_clash_only,chai,all,680,0.5955882352941176,1.1583344340324402,0.6903225806451613,0.09411764705882353,0.9911764705882353
geometry_filter_clash_only,chai,high,300,0.8766666666666667,0.43165926635265345,0.806949806949807,0.13666666666666666,0.9966666666666667
geometry_filter_clash_only,chai,low,80,0.2125,9.581171989440918,0.5063291139240507,0.0125,0.9875
geometry_filter_clash_only,chai,mid,300,0.4166666666666667,2.5385701656341553,0.6347517730496454,0.07333333333333333,0.9866666666666667
geometry_filter_clash_only,protenix,all,687,0.5807860262008734,1.1995434761047363,0.6572769953051644,0.06986899563318777,0.9577874818049491
geometry_filter_clash_only,protenix,high,300,0.91,0.4483892470598221,0.7455197132616488,0.07,0.91
geometry_filter_clash_only,protenix,low,87,0.10344827586206896,11.975975036621094,0.4177215189873418,0.09195402298850575,1.0
geometry_filter_clash_only,protenix,mid,300,0.39,2.7204418182373047,0.6370106761565836,0.06333333333333334,0.9933333333333333
geometry_filter_contact_only,all_methods,all,4727,0.6249206685001057,1.1065059900283811,0.6682208588957055,0.005711867992384176,0.9993653480008462
geometry_filter_contact_only,all_methods,high,2100,0.8890476190476191,0.4438283741474151,0.7558528428093646,0.0038095238095238095,0.9985714285714286
geometry_filter_contact_only,all_methods,low,528,0.13825757575757575,8.074556350708008,0.4094650205761317,0.020833333333333332,1.0
geometry_filter_contact_only,all_methods,mid,2099,0.48308718437351117,2.092172384262085,0.6506963788300836,0.003811338732729871,1.0
geometry_filter_contact_only,af3,all,697,0.6355810616929699,0.9998206496238708,0.654178674351585,0.00430416068866571,1.0
geometry_filter_contact_only,af3,high,300,0.9066666666666666,0.330759197473526,0.761744966442953,0.006666666666666667,1.0
geometry_filter_contact_only,af3,low,97,0.18556701030927836,7.8910441398620605,0.3333333333333333,0.010309278350515464,1.0
geometry_filter_contact_only,af3,mid,300,0.51,1.9323796033859253,0.65,0.0,1.0
geometry_filter_contact_only,af3_no_template,all,697,0.6456241032998565,1.0129979848861694,0.6132756132756133,0.005738880918220947,1.0
geometry_filter_contact_only,af3_no_template,high,300,0.9233333333333333,0.34777654707431793,0.7181208053691275,0.006666666666666667,1.0
geometry_filter_contact_only,af3_no_template,low,97,0.17525773195876287,7.625801086425781,0.2736842105263158,0.020618556701030927,1.0
geometry_filter_contact_only,af3_no_template,mid,300,0.52,1.7920406460762024,0.6166666666666667,0.0,1.0
geometry_filter_contact_only,boltz,all,670,0.6059701492537314,1.2641462087631226,0.5015015015015015,0.005970149253731343,0.9985074626865672
geometry_filter_contact_only,boltz,high,300,0.85,0.5935752093791962,0.5719063545150501,0.0033333333333333335,0.9966666666666667
geometry_filter_contact_only,boltz,low,70,0.08571428571428572,7.857880353927612,0.2463768115942029,0.014285714285714285,1.0
geometry_filter_contact_only,boltz,mid,300,0.48333333333333334,2.0907338857650757,0.4899328859060403,0.006666666666666667,1.0
geometry_filter_contact_only,boltz1x,all,666,0.6201201201201201,1.1631397008895874,0.9200603318250377,0.0045045045045045045,1.0
geometry_filter_contact_only,boltz1x,high,300,0.85,0.5457308888435364,0.9331103678929766,0.0033333333333333335,1.0
geometry_filter_contact_only,boltz1x,low,66,0.06060606060606061,7.1792778968811035,0.8125,0.030303030303030304,1.0
geometry_filter_contact_only,boltz1x,mid,300,0.5133333333333333,1.9119031429290776,0.93,0.0,1.0
geometry_filter_contact_only,boltz2,all,630,0.6936507936507936,0.9397163987159728,,0.004761904761904762,1.0
geometry_filter_contact_only,boltz2,high,300,0.91,0.43619489669799805,,0.006666666666666667,1.0
geometry_filter_contact_only,boltz2,low,31,0.06451612903225806,8.908732414245605,,0.0,1.0
geometry_filter_contact_only,boltz2,mid,299,0.5418060200668896,1.7600971460342407,,0.0033444816053511705,1.0
geometry_filter_contact_only,chai,all,680,0.5926470588235294,1.1785191297531128,0.6859259259259259,0.007352941176470588,1.0
geometry_filter_contact_only,chai,high,300,0.8733333333333333,0.4541986435651779,0.8166666666666667,0.0,1.0
geometry_filter_contact_only,chai,low,80,0.2125,8.994784832000732,0.4935064935064935,0.0375,1.0
geometry_filter_contact_only,chai,mid,300,0.41333333333333333,2.505332827568054,0.6040268456375839,0.006666666666666667,1.0
geometry_filter_contact_only,protenix,all,687,0.5851528384279476,1.2028934955596924,0.6388888888888888,0.00727802037845706,0.9970887918486172
geometry_filter_contact_only,protenix,high,300,0.91,0.4405972957611084,0.7333333333333333,0.0,0.9933333333333333
geometry_filter_contact_only,protenix,low,87,0.10344827586206896,12.181598663330078,0.4,0.022988505747126436,1.0
geometry_filter_contact_only,protenix,mid,300,0.4,2.7012449502944946,0.6120401337792643,0.01,1.0
geometry_filter_relaxed,all_methods,all,4727,0.6259784218320288,1.1023919582366943,0.6940662727973286,0.0478104506029194,0.994711233340385
geometry_filter_relaxed,all_methods,high,2100,0.8923809523809524,0.4438283741474151,0.7720715522215811,0.03380952380952381,0.9933333333333333
